MLSNumber,Category,Status,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,YearBuilt,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,AdditionalBankOwned,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct 
MDHR2035034,RES,Closed,37,37,8/26/24,10/1/24 0:00,10/28/24,10/23/24,"$534,990 ","$534,990 ","$534,990 ",4771,,Naples,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,Cash,StandardSale,StandardSale,StandardSale,0,2024,0.14,,FeeSimple,Yes,No,Yes,Monthly,200,Monthly,2024,1,2582,Excellent,3,3,,Two,Traditional,"Lower1,Main",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1726,856,Excellent,,
MDHR2034948,RES,Closed,6,6,8/23/24,9/4/24 0:00,9/30/24,9/27/24,"$279,000 ","$279,000 ","$279,000 ",5059,,Bristle Cone,,Aberdeen,MD,21001,HARFORDMD,HOLLY WOODS,Jorge L Pimentel,67996,Samson Properties,SAMP31,(443) 317-8125,Htun Win Naing,3329061,Ghimire Homes,GHIM1,(410) 497-5238,Cash,StandardSale,StandardSale,StandardSale,2024,2024,0.04,,FeeSimple,No,No,Yes,Quarterly,185,Quarterly,2003,22,1620,VeryGood,3,2,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,,No,HasLaundry,,,Yes,No,No,StandardSale,BRIGHT,1320,300,VeryGood,,
MDHR2034854,RES,Closed,13,13,8/22/24,9/14/24 0:00,10/21/24,10/21/24,"$399,900 ","$399,900 ","$399,900 ",4851,,Atlas Cedar,,Aberdeen,MD,21001,HARFORDMD,HOLLY WOODS,Jamie B Rassi,50822,Cummings & Co Realtors,CCRL8,(410) 823-0033,Gregory A Cullison Jr.,3087244,"EXP Realty, LLC",EXXP8,(888) 860-7369,VA,StandardSale,StandardSale,StandardSale,3266,2024,0.06,TH,FeeSimple,No,No,Yes,Monthly,85,Monthly,2011,14,2731,Excellent,3,3,1,Three,Villa,"Lower1,Main,Upper1",,Yes,2,Yes,"DryerInUnit,UpprFlrLndry,WasherInUnit",,10,Yes,No,No,StandardSale,BRIGHT,2106,625,Excellent,,
MDHR2034888,RES,Closed,29,30,8/16/24,9/10/24 0:00,10/31/24,10/29/24,"$289,900 ","$289,900 ","$265,000 ",352,,South Drive,,Aberdeen,MD,21001,HARFORDMD,BREA MAR MANOR,Linda L Welsh,25296,Integrity Real Estate,RMAX24,(410) 287-8080,Silma L Ruano,3314964,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE033,(410) 561-0044,FHA,StandardSale,StandardSale,StandardSale,2678,2024,0.16,,FeeSimple,No,No,No,,,,1960,65,1560,Good,3,1,0,Two,Rancher,"Lower1,Main",,Yes,,Yes,BsmtLaundry,,,Yes,No,No,StandardSale,BRIGHT,1040,520,Good,,
MDHR2034626,RES,Closed,5,5,8/19/24,9/1/24 0:00,9/30/24,9/30/24,"$250,000 ","$257,500 ","$257,500 ",124,,New County,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,Alex van Breukelen,3114907,"Real Broker, LLC",REKL1,(855) 450-0442,Kimberly D. Parsons,129005,"American Premier Realty, LLC",KWAM1,(443) 512-0090,FHA,StandardSale,StandardSale,StandardSale,2259,2024,0.39,R,FeeSimple,No,No,No,,,,1938,87,1532,VeryGood,4,1,1,ThreeandaHalf,Colonial,"Main,Upper1,Upper2",,Yes,,No,"BsmtLaundry,Hookup",,,Yes,No,No,StandardSale,BRIGHT,1532,0,VeryGood,,
MDHR2034832,RES,Closed,2,2,8/20/24,8/21/24 0:00,10/15/24,10/10/24,"$429,990 ","$429,990 ","$429,990 ",4780,,Sanibel,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,FHA,StandardSale,StandardSale,StandardSale,0,2024,0.06,,FeeSimple,Yes,No,Yes,Monthly,180,Monthly,2024,1,2280,Excellent,4,3,1,Three,Traditional,"Lower1,Main,Upper1",,Yes,1,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1730,550,Excellent,,
MDHR2034766,RES,Closed,28,28,8/18/24,9/26/24 0:00,10/31/24,10/30/24,"$389,900 ","$389,900 ","$389,900 ",1231,,Fenwick,,Aberdeen,MD,21001,HARFORDMD,BEECHTREE ESTATES,Emily McGann,3335998,Compass,COMPS14,(443) 873-3585,Peter J Klebenow,98855,RE/MAX Advantage Realty,RMA13,(410) 391-6900,Conventional,StandardSale,StandardSale,StandardSale,3155,2024,0.08,TH,FeeSimple,No,No,Yes,Monthly,93,Monthly,2019,6,2106,Excellent,4,2,2,Three,Traditional,"Main,Upper1,Upper2",,Yes,1,No,"HasLaundry,UpprFlrLndry",,,Yes,No,No,StandardSale,BRIGHT,2106,,Excellent,,
MDHR2034748,RES,Closed,5,5,8/17/24,8/27/24 0:00,9/30/24,9/30/24,"$325,000 ","$325,000 ","$341,000 ",134,,Mount Royal,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,DeRonnie H Terrell,3282438,BHHS Fox & Roach-Chadds Ford,61009,(610) 388-3700,Rosella M Hunter,3237656,Remax Vision,RXVS1,(410) 287-3629,Conventional,StandardSale,StandardSale,StandardSale,3202,2024,0.48,R,FeeSimple,No,No,No,,,,1954,71,1514,,3,2,,Two,"RaisedRanch,Rancher",Main,,Yes,1,No,,,,Yes,No,No,StandardSale,BRIGHT,1514,0,,,
MDHR2034632,RES,Closed,100,100,8/14/24,11/21/24 0:00,1/20/25,1/14/25,"$399,910 ","$369,990 ","$369,990 ",615,,Augustine,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Violetta Bujak,68525,Star Realty Inc.,STARR1,(410) 702-4442,FHA,StandardSale,StandardSale,StandardSale,0,2025,0.06,,FeeSimple,Yes,No,Yes,Monthly,180,Monthly,2025,0,1730,Excellent,3,2,1,Three,Traditional,"Main,Upper1",,Yes,1,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1730,,Excellent,,
MDHR2034630,RES,Closed,106,106,8/14/24,11/27/24 0:00,1/20/25,1/14/25,"$375,070 ","$349,990 ","$349,990 ",613,,Augustine,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,FHA,StandardSale,StandardSale,StandardSale,0,2025,0.06,,FeeSimple,Yes,No,Yes,Monthly,180,Monthly,2025,0,1730,Excellent,3,2,1,Three,Traditional,"Main,Upper1",,Yes,1,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1730,,Excellent,,
MDHR2034600,RES,Closed,2,2,8/13/24,8/14/24 0:00,12/24/24,12/16/24,"$548,355 ","$526,160 ","$526,160 ",609,,Ocala,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Nichlas Latrobe Kobrick,3347517,"EXP Realty, LLC",EXXP5,(888) 860-7369,Conventional,StandardSale,StandardSale,StandardSale,0,2024,0.14,,FeeSimple,Yes,No,Yes,Monthly,200,Monthly,2024,1,2582,Excellent,3,3,,Two,Traditional,"Lower1,Main",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1726,856,Excellent,,
MDHR2034586,RES,Closed,65,65,8/13/24,10/18/24 0:00,11/26/24,11/26/24,"$799,900 ","$750,000 ","$720,000 ",3009,,Creswell,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Vincent J. Steo,3342194,Your Home Sold Guaranteed Realty,YHSG1,(410) 793-1616,Robert J Chew,91028,Berkshire Hathaway HomeServices PenFed Realty,PFED59,(410) 465-4440,Conventional,StandardSale,StandardSale,StandardSale,4847,2024,5.67,R,FeeSimple,No,No,No,,,,1903,122,4290,VeryGood,5,4,1,Three,Colonial,"Main,Upper1",,Yes,,Yes,,,,No,No,No,StandardSale,BRIGHT,4290,0,VeryGood,,
MDHR2034330,RES,Closed,19,19,7/31/24,9/5/24 0:00,10/31/24,10/31/24,"$599,900 ","$599,900 ","$582,450 ",771,,Sagebrush Loop,,Aberdeen,MD,21001,HARFORDMD,GILBERT MEADOWS,Joan A Ryder,23695,Joan Ryder and Associates Real Estate,JRRE1,(410) 893-1792,Elizabeth J Klepetka,133558,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,VA,StandardSale,StandardSale,StandardSale,473,2024,0.17,R,FeeSimple,No,No,Yes,Annually,400,Annually,2024,1,2711,Excellent,4,3,,Two,Rancher,"Lower1,Main",,Yes,2,No,MainFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,1696,1015,Excellent,,
MDHR2034530,RES,Closed,25,141,8/9/24,9/3/24 0:00,11/27/24,11/26/24,"$525,000 ","$514,000 ","$458,000 ",2210,,Perryman,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Robert G Rich,3219493,"Long & Foster Real Estate, Inc.",LNG61,(410) 879-8080,Nechelle A Robinson,83643,Cummings & Co. Realtors,CCRL15,(410) 823-0033,Conventional,StandardSale,StandardSale,StandardSale,3879,2024,0.54,R,FeeSimple,No,No,No,,,,1984,41,1820,,2,1,1,Three,Colonial,"Main,Upper1",,Yes,,No,,,,Yes,Yes,No,StandardSale,BRIGHT,1120,700,,,
MDHR2033942,RES,Closed,11,11,7/22/24,8/24/24 0:00,9/27/24,9/27/24,"$565,000 ","$565,000 ","$565,000 ",357,,Marina,,Aberdeen,MD,21001,HARFORDMD,GABLERS SHORE,Donald S Meyd,3092126,Redfin Corp,REFC4,(410) 202-8454,Charles D Donofrio,3004626,"Long & Foster Real Estate, Inc.",LNG61,(410) 879-8080,Conventional,StandardSale,StandardSale,StandardSale,4665,2024,0.13,R,FeeSimple,No,No,Yes,Monthly,125,Monthly,2019,6,2449,,4,2,2,Four,Traditional,"Lower1,Main,Upper1",,Yes,2,Yes,,,8,Yes,No,No,StandardSale,BRIGHT,2449,0,,,
MDHR2034500,RES,Closed,9,9,8/9/24,8/23/24 0:00,10/7/24,10/7/24,"$185,000 ","$185,000 ","$185,000 ",24,,Swan,,Aberdeen,MD,21001,HARFORDMD,SWAN MEADOWS,Julia H. Neal,3096470,Next Step Realty,NXSR1,(443) 901-2200,Selena Hill Watson,3348968,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,FHA,StandardSale,StandardSale,StandardSale,1326,2024,0.11,TH,FeeSimple,No,No,No,,,,1941,84,752,"Excellent,VeryGood",2,1,,One,Rancher,Main,,No,,No,"HasLaundry,MainFlrLndry",,6,Yes,No,No,StandardSale,BRIGHT,752,0,"Excellent,VeryGood",,
MDHR2034522,RES,Closed,63,63,8/9/24,10/22/24 0:00,11/28/24,11/26/24,"$419,900 ","$399,900 ","$399,900 ",39,,Hillman,,Aberdeen,MD,21001,HARFORDMD,HILLCREST MANOR,Henry W. Webster,3056844,"Advance Realty Bel Air, Inc.",AVNR4,(410) 515-1700,Tanya L Bolling,3087838,"EXP Realty, LLC",EXXP1,(888) 860-7369,FHA203b,StandardSale,StandardSale,StandardSale,3201,2024,0.32,R,FeeSimple,No,No,No,,,,1983,42,1925,Excellent,5,2,,One,Rancher,Main,,No,,No,"DryerInUnit,HasLaundry,WasherInUnit",,,No,No,No,StandardSale,BRIGHT,1925,0,Excellent,,
MDHR2034322,RES,Closed,7,7,8/2/24,8/22/24 0:00,9/23/24,9/23/24,"$600,000 ","$600,000 ","$612,000 ",636,,Bentgrass,,Aberdeen,MD,21001,HARFORDMD,BEECHTREE ESTATES,Bob Kimball,25228,Redfin Corp,REFC4,(410) 202-8454,Soma Barman,3093582,Keller Williams Lucido Agency,KWLA1,(410) 465-6900,Conventional,StandardSale,StandardSale,StandardSale,5096,2024,0.18,E,FeeSimple,No,No,Yes,Monthly,93,Monthly,2019,6,4304,,5,4,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,No,,,,Yes,No,No,StandardSale,BRIGHT,3194,1110,,,
MDHR2034476,RES,Closed,5,5,8/7/24,8/10/24 0:00,8/31/24,8/30/24,"$375,000 ","$375,000 ","$385,000 ",1631,,Perryman,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,Daniel T Morris,3013866,"Long & Foster Real Estate, Inc.",LNG185,(410) 453-0500,Kimberly A Lally,3031636,"EXP Realty, LLC",EXXP9,(888) 860-7369,Conventional,StandardSale,StandardSale,StandardSale,2846,2024,1.05,E,FeeSimple,No,No,No,,,,1932,93,3606,,4,3,,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,No,,,,Yes,No,No,StandardSale,BRIGHT,2751,855,,,
MDHR2034482,RES,Closed,34,34,8/7/24,9/9/24 0:00,10/22/24,10/15/24,"$379,990 ","$368,990 ","$368,990 ",917,,Playfair Terrace,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN OVERLOOK,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,GILBERT PERRONE,3281189,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE039,(410) 697-8100,FHA,StandardSale,StandardSale,StandardSale,0,2024,0.05,,FeeSimple,No,No,Yes,Monthly,135,Monthly,2024,1,1730,Excellent,3,2,2,Three,Craftsman,"Lower1,Main,Upper1",,Yes,1,,UpprFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1730,,Excellent,,
MDHR2034018,RES,Closed,4,4,7/9/24,8/13/24 0:00,9/12/24,9/12/24,"$265,000 ","$265,000 ","$265,000 ",642,,Sadler,,Aberdeen,MD,21001,HARFORDMD,BROOKHAVEN,Bevia A Patrick,117626,Keller Williams Flagship of Maryland,KWF1,(410) 729-7700,Margaret Grace Lorenz,3334892,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,Conventional,StandardSale,StandardSale,StandardSale,3305,2024,0.37,R,FeeSimple,No,No,No,,,,1956,69,1696,,3,2,,Three,RaisedRanch,Main,,Yes,,Yes,,,,No,No,No,StandardSale,BRIGHT,1696,,,,
MDHR2034418,RES,Closed,2,2,8/5/24,8/6/24 0:00,12/18/24,12/10/24,"$533,624 ","$532,480 ","$532,480 ",611,,Ocala,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,Cash,StandardSale,StandardSale,StandardSale,0,2024,0.14,,FeeSimple,Yes,No,Yes,Monthly,200,Monthly,2024,1,2343,Excellent,3,3,,Two,Traditional,"Lower1,Main",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1561,782,Excellent,,
MDHR2034416,RES,Closed,2,2,8/5/24,8/6/24 0:00,12/18/24,12/9/24,"$495,475 ","$495,125 ","$495,125 ",4751,,Naples,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Laura M Dernoga,3046574,RE/MAX Advantage Realty,RMA13,(410) 391-6900,Conventional,StandardSale,StandardSale,StandardSale,0,2024,0.14,,FeeSimple,Yes,No,Yes,Monthly,200,Monthly,2024,1,2343,Excellent,3,3,,Two,Traditional,"Lower1,Main",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1561,782,Excellent,,
MDHR2034414,RES,Closed,2,2,8/5/24,8/6/24 0:00,12/10/24,12/3/24,"$512,215 ","$517,705 ","$517,705 ",4755,,Naples,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,FHA,StandardSale,StandardSale,StandardSale,0,2024,0.14,,FeeSimple,Yes,No,Yes,Monthly,200,Monthly,2024,1,2582,Excellent,4,3,,Two,Traditional,"Lower1,Main",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1726,856,Excellent,,
MDHR2034410,RES,Closed,2,2,8/5/24,8/6/24 0:00,12/18/24,12/12/24,"$493,560 ","$494,740 ","$494,740 ",4765,,Naples,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,VA,StandardSale,StandardSale,StandardSale,0,2024,0.14,,FeeSimple,Yes,No,Yes,Monthly,200,Monthly,2024,1,2343,Excellent,3,3,,Two,Traditional,"Lower1,Main",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1561,782,Excellent,,
MDHR2034404,RES,Closed,75,75,8/5/24,10/18/24 0:00,12/2/24,11/25/24,"$471,990 ","$433,990 ","$433,990 ",918,,Swilken Bridge,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN OVERLOOK,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,VA,StandardSale,StandardSale,StandardSale,0,2024,0.09,,FeeSimple,No,No,Yes,Monthly,135,Monthly,2024,1,2861,Excellent,3,3,1,Three,Craftsman,"Lower1,Main,Upper1",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1912,949,Excellent,,
MDHR2034396,RES,Closed,2,2,8/5/24,8/6/24 0:00,12/24/24,12/17/24,"$369,450 ","$374,445 ","$374,445 ",916,,Poppy,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN OVERLOOK,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Saundra G. Bratcher,50503,Coldwell Banker Realty,CBRB42,(410) 515-2000,Conventional,StandardSale,StandardSale,StandardSale,0,2024,0.05,,FeeSimple,No,No,Yes,Monthly,135,Monthly,2024,1,1730,Excellent,3,2,1,Three,Craftsman,"Main,Upper1",,Yes,1,,UpprFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1730,,Excellent,,
MDHR2034290,RES,Closed,2,2,8/1/24,8/2/24 0:00,8/3/24,8/3/24,"$484,990 ","$484,990 ","$484,990 ",901,,Playfair Terrace,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN OVERLOOK,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Donna A Heslop-Adams,121315,Bennett Realty Solutions,EXBR1,(301) 459-5040,Conventional,StandardSale,StandardSale,StandardSale,0,2024,0.05,,FeeSimple,No,No,Yes,Monthly,135,Monthly,2024,1,2196,Excellent,3,2,2,Three,Craftsman,"Lower1,Main,Upper1",,Yes,2,,UpprFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,2196,,Excellent,,
MDHR2034284,RES,Closed,2,2,8/1/24,8/2/24 0:00,12/25/24,12/20/24,"$431,490 ","$431,490 ","$431,490 ",922,,Poppy,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN OVERLOOK,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Alexis A. Fleming,3282293,"EXP Realty, LLC",EXXP1,(888) 860-7369,FHA,StandardSale,StandardSale,StandardSale,0,2024,0.05,,FeeSimple,No,No,Yes,Monthly,135,Monthly,2024,1,2144,Excellent,3,2,1,Three,Craftsman,"Main,Upper1",,Yes,1,,UpprFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,2144,,Excellent,,
MDHR2034272,RES,Closed,5,5,8/1/24,8/6/24 0:00,10/4/24,10/4/24,"$340,000 ","$340,000 ","$340,000 ",638,,Andrews,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,John C Kantorski Jr.,3008641,"EXP Realty, LLC",EXXP5,(888) 860-7369,Carl E Harper,64466,Samson Properties,SAMP16,(301) 850-0255,Conventional,StandardSale,StandardSale,StandardSale,3299,2024,0.23,R,FeeSimple,No,No,No,,,,1959,66,2044,,3,2,0,Two,Rancher,"Lower1,Main",,Yes,,No,,,,Yes,No,No,StandardSale,BRIGHT,1344,700,,,
MDHR2034264,RES,Closed,2,2,7/31/24,8/2/24 0:00,8/28/24,8/28/24,"$499,900 ","$515,000 ","$515,000 ",925,,Carsins Run,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Pari Bond,3090966,"Long & Foster Real Estate, Inc.",LNG185,(410) 453-0500,Robert J Chew,91028,Berkshire Hathaway HomeServices PenFed Realty,PFED59,(410) 465-4440,Conventional,StandardSale,StandardSale,StandardSale,3280,2024,6.57,R,FeeSimple,No,No,No,,,,1985,40,2400,Excellent,4,3,0,Two,SplitFoyer,"Lower1,Main",,Yes,,Yes,LowFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,1290,1110,Excellent,,90
MDHR2034192,RES,Closed,13,13,7/29/24,8/24/24 0:00,10/9/24,10/8/24,"$489,000 ","$489,000 ","$517,000 ",1308,,Tralee,,Aberdeen,MD,21001,HARFORDMD,WEXFORD,Sharon G Dorsch,28750,"Long & Foster Real Estate, Inc.",LNG61,(410) 879-8080,Shawn R Sanders,3082493,"Revol Real Estate, LLC",REVOL1,(240) 356-1044,Conventional,StandardSale,StandardSale,StandardSale,3341,2024,0.15,R,FeeSimple,No,No,Yes,Annually,487,Annually,2004,21,2828,,4,2,1,Three,Colonial,"Lower1,Lower2,Main,Upper1",,Yes,2,Yes,MainFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,2328,500,,,
MDHR2034232,RES,Closed,24,37,7/31/24,8/23/24 0:00,9/27/24,9/27/24,"$319,900 ","$315,000 ","$310,000 ",4,,Hillman,,Aberdeen,MD,21001,HARFORDMD,HILLCREST MANOR,Kevin S Bandy,94520,ExecuHome Realty,EXER7,(443) 384-4000,Megan A Fielder,3099870,Cummings & Co Realtors,CCRL8,(410) 823-0033,Conventional,StandardSale,StandardSale,StandardSale,3355,2024,0.74,,FeeSimple,No,No,No,,,,1976,49,1589,,2,2,,Two,CapeCod,"Main,Upper1",,Yes,1,Yes,,,,Yes,No,No,StandardSale,BRIGHT,1439,150,,,
MDHR2034218,RES,Closed,2,2,7/30/24,8/3/24 0:00,9/10/24,9/9/24,"$365,000 ","$365,000 ","$376,500 ",527,,Roszel,,Aberdeen,MD,21001,HARFORDMD,BEECHTREE ESTATES,Janet L Freund,3051079,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,Crystal R Maroya,3225209,Berkshire Hathaway HomeServices PenFed Realty,PFED46,(443) 627-2900,VA,StandardSale,StandardSale,StandardSale,2981,2024,0.05,TH,FeeSimple,No,No,Yes,Monthly,92,Monthly,2019,6,2020,VeryGood,3,2,2,Three,Colonial,"Lower1,Main,Upper1",,Yes,1,No,UpprFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,1600,420,VeryGood,,
MDHR2034176,RES,Closed,2,2,7/29/24,7/30/24 0:00,12/2/24,11/29/24,"$520,865 ","$520,700 ","$520,700 ",4763,,Naples,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Joan A Ryder,23695,Joan Ryder and Associates Real Estate,JRRE1,(410) 893-1792,Conventional,StandardSale,StandardSale,StandardSale,0,2024,0.14,,FeeSimple,Yes,No,Yes,Monthly,200,Monthly,2024,1,2582,Excellent,4,3,,Two,Traditional,"Lower1,Main",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1726,856,Excellent,,
MDHR2033334,RES,Closed,43,43,7/26/24,10/19/24 0:00,11/18/24,11/17/24,"$315,900 ","$199,333 ","$200,000 ",1912,,Perryman,,Aberdeen,MD,21001,HARFORDMD,FOREST GREENS,Claudia P Sconion,28998,"Weichert, Realtors - Diana Realty",WEID1,(410) 893-1200,Steve R Kuzma,23797,"Weichert, Realtors - Diana Realty",WEID1,(410) 893-1200,FHA,StandardSale,StandardSale,StandardSale,2406,2024,0.16,R,FeeSimple,No,No,No,,,,1990,35,1332,VeryGood,3,2,1,Three,Colonial,"Main,Upper1",,Yes,,No,,,,Yes,No,No,StandardSale,BRIGHT,1332,,VeryGood,,
MDHR2034156,RES,Closed,2,2,7/29/24,7/30/24 0:00,12/10/24,12/6/24,"$370,530 ","$370,530 ","$370,530 ",617,,Augustine,,Aberdeen,MD,21001,HARFORDMD,GRACE WOODS,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Non Member,9999,"Metropolitan Regional Information Systems, Inc.",MRIS1,(301) 838-7200,FHA,StandardSale,StandardSale,StandardSale,0,2024,0.06,,FeeSimple,Yes,No,Yes,Monthly,180,Monthly,2024,1,1730,Excellent,3,2,1,Three,Traditional,"Main,Upper1",,Yes,1,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1730,,Excellent,,
MDHR2034150,RES,Closed,2,2,7/29/24,7/30/24 0:00,10/28/24,10/21/24,"$529,945 ","$529,945 ","$529,945 ",923,,Swilken Bridge,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN OVERLOOK,Tineshia R. Johnson,3294014,"NVR Services, Inc.",NVRS1,(703) 955-4875,Britney Butler,3274843,Samson Properties,SAMP16,(301) 850-0255,Conventional,StandardSale,StandardSale,StandardSale,0,2024,0.09,,FeeSimple,No,No,Yes,Monthly,135,Monthly,2024,1,2861,Excellent,3,3,1,Three,Craftsman,"Lower1,Main,Upper1",,Yes,2,,MainFlrLndry,,,Yes,No,Yes,StandardSale,BRIGHT,1912,949,Excellent,,
MDHR2034120,RES,Closed,63,63,7/27/24,11/22/24 0:00,1/17/25,1/17/25,"$399,900 ","$375,000 ","$370,000 ",832,,Lynn Lee,,Aberdeen,MD,21001,HARFORDMD,CARSIN RUN ESTATES 14/54,Marge A. McCreesh,26978,"EXP Realty, LLC",EXXP5,(888) 860-7369,Christine Cullison,3113287,"Revol Real Estate, LLC",REVOL1,(240) 356-1044,Conventional,StandardSale,StandardSale,StandardSale,2725,2024,0.67,R,FeeSimple,No,No,No,,,,1963,62,1898,,5,2,1,Two,Rancher,"Lower1,Lower2,Main,Upper1,Upper2",,Yes,1,No,,,,Yes,No,No,StandardSale,BRIGHT,1248,650,,,
